Thread Count,Run 1,Run 2,Run 3,Run 4,Run 5,Average
1,1893921600,1791228600,1843580399,1747131900,1729249400,1801022379
2,1158951800,1224980100,1153049399,1105131701,2942269800,1516876560
4,708078500,692376000,639403101,748300800,673451101,692321900
8,653809500,441022200,471229700,467953200,464313700,499665660
16,458634500,3256287600,415967300,424013200,418416299,994663779
32,411624900,671729501,425902501,525433100,405270500,487992100
64,441436700,864955400,439796900,425889199,461561201,526727880
128,477360901,486926600,998587700,523520701,504015001,598082180
256,609700500,552768800,6784436699,566270100,749477100,1852530639
512,894848500,893613199,961726099,1085198699,1117071500,990491599
1024,2326229200,2333788199,2599411101,1650155200,2098518701,2201620480
